pos_id,pos_name,salary,org_id,place_id
1510,軟體設計工程師,"35,000 / 月",1091,1
1511,軟體工程師,"81,000 / 月",1092,1
1512,韌體工程師,"34,000 / 月",1093,1
1513,PM,"35,000 / 月",1094,1
1514,品保工程師,"35,000 / 月",1095,16
1515,工讀生,158 / 小時,1096,2
1516,經理,"55,000 / 月",1097,1
1517,網路工程師,"35,000 / 月",1098,1
1518,記者,600 / 日,1099,1
1519,業助,"26,000 / 月",1100,1
1520,生產技術╱製程工程師,"44,000 / 月",1101,13
1521,國內業務人員,"700,000 / 年",1102,15
1522,業務,"80,000 / 月",1103,1
1523,設備維修人員,"30,000 / 月",1104,8
1524,軟體工程師,"600,000 / 年",1105,2
1525,課長,"60,000 / 月",1106,10
1526,助理工程師,"38,000 / 月",1107,4
1527,服務工程師,"34,000 / 月",1108,5
1528,AM,"35,000 / 月",1109,1
1529,機構工程師,"32,000 / 月",1110,4
1530,軟體工程師,"22,000 / 月",1111,6
1531,外銷業務專員,"28,000 / 月",1112,6
